Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
Перчатки трикотажные с 2-ым латексным обливом (Красные) ИУ (уп.300 пар) арт.ЛТ-37,,"20,4",854,"Количество: 300 пар
Вес: 14.2 кг
Объем: 0.1 м",,
Перчатки трикотажные с 2-ым латексным обливом (Красные) уп.300 пар арт.ЛТ-37,,19,5611,"Количество: 300 пар
Вес: 14.9 кг
Объем: 0.1 м",,
"Перчатки Нейлоновые с Полиуретановым покрытием (цв.черный, р-р 10)",,"39,8",120,"Количество: 1 пар
Вес: 0.04 кг
Объем: 0.0003 м",,
Перчатки спилковые комбинированные (уп. 240),,"184,8",172,"Количество: 240 пар
Вес: 31 кг
Объем: 0.106 м",,
"7,5,7 - Перчатки 7,5 класс (7 нитей) П/Ш с ПВХ (С)",,"35,4",2380,"Количество: 300 пар
Вес: 25.539 кг
Объем: 0.13 м",,
Перчатки 10 класс П/Ш с ПВХ (уп.300 пар),,"29,6",1565,"Количество: 300 пар
Вес: 21.9 кг
Объем: 0.087 м",,
Перчатки 10 класс П/Ш ХБ (уп.300 пар),,28,600,"Количество: 300 пар
Вес: 19.26 кг
Объем: 0.087 м",,
Перчатки КЩС К80Щ50 тип 2 (8р),,59,308,"Количество: 1 пар
Вес: 0.062 кг
Объем: 0.0003 м","Предназначены для зашиты рук при работе с растворами кислоти щелочей до 20% 
Толщина 0,4 мм",
Перчатки латексные особопрочные High Risk  (SFM) (25 пар) L,,"614,4",33,"Количество: 10 пар
Вес: 7.35 кг
Объем: 0.025 м","Нестерильное изделие, изготовленное из натурального каучукового латекса (NRL), предназначенное для создания защитного барьера, надевающееся на руки медицинскими работниками во время обследования/лечения пациента или для других санитарных целей; его внутренняя поверхность не покрыта порошком талька. Используется, главным образом, как двухсторонний барьер защиты как пациента, так и персонала от различной контаминации.
Это изделие одноразового использования. Толщина текстурированных участков для обеспечения устойчивости к механическим повреждениям и высокого уровня защиты от воздействия химически агрессивных сред. Содержание протеинов по методу Лоури не более 30 мкг/г.
Приемлемый уровень качества (AQL) не более 1,5 (указано на упаковке) для обеспечения герметичности продукции.
Перчатки должны обладать устойчивостью к вирусной пенетрации согласно ASTM F-1671 (наличие протоколов испытаний) и к цитостатикам согласно ASTM-D 6978 (наличие протоколов испытаний).
Соответствие ГОСТ 12.4.278-2014 (EN374:2003) «Перчатки,Защищающие от химикатов и микроорганизмов», в том числе: маркировка, согласно п.6 и п.8 ГОСТ 12.4.278-2014 (EN374:2003), наличие на упаковке перечня химических веществ, по которым были произведены испытания и классов, которые были получены в результате испытаний на проницаемость. Проницаемость к этанолу - Более 60 мин, к хлоргексидину - более 120 мин, к 37% формальдегиду - более 10 мин (указано на упаковке).
Медицинское изделие: класс потенциального риска применения не ниже Iia.",
Перчатки латексные особопрочные High Risk  (SFM) (25 пар) М,,"620,6",21,"Количество: 10 пар
Вес: 7.35 кг
Объем: 0.025 м","Нестерильное изделие, изготовленное из натурального каучукового латекса (NRL), предназначенное для создания защитного барьера, надевающееся на руки медицинскими работниками во время обследования/лечения пациента или для других санитарных целей; его внутренняя поверхность не покрыта порошком талька. Используется, главным образом, как двухсторонний барьер защиты как пациента, так и персонала от различной контаминации.
Это изделие одноразового использования. Толщина текстурированных участков для обеспечения устойчивости к механическим повреждениям и высокого уровня защиты от воздействия химически агрессивных сред. Содержание протеинов по методу Лоури не более 30 мкг/г.
Приемлемый уровень качества (AQL) не более 1,5 (указано на упаковке) для обеспечения герметичности продукции.
Перчатки должны обладать устойчивостью к вирусной пенетрации согласно ASTM F-1671 (наличие протоколов испытаний) и к цитостатикам согласно ASTM-D 6978 (наличие протоколов испытаний).
Соответствие ГОСТ 12.4.278-2014 (EN374:2003) «Перчатки,Защищающие от химикатов и микроорганизмов», в том числе: маркировка, согласно п.6 и п.8 ГОСТ 12.4.278-2014 (EN374:2003), наличие на упаковке перечня химических веществ, по которым были произведены испытания и классов, которые были получены в результате испытаний на проницаемость. Проницаемость к этанолу - Более 60 мин, к хлоргексидину - более 120 мин, к 37% формальдегиду - более 10 мин (указано на упаковке).
Медицинское изделие: класс потенциального риска применения не ниже Iia.",
